school_name,fac_schtype
Sandtown Middle School,M
Taylor Road Middle School,M
Northwestern Middle School,M
Sandy Springs Middle School,M
Hapeville Charter Middle School,M
Tri-Cities High School,H
Ocee Elementary School,E
Woodland Elementary School,E
Paul D. West Middle School,M
Lake Forest Elementary,E
Johns Creek High School,H
Cliftondale Elementary School,E
Alpharetta Elementary School,E
Roswell North Elementary School,E
Langston Hughes High School,H
Birmingham Falls Elementary School,E
Ison Springs Elementary School,E
RISE Grammar School,E
RISE Prep School,M
College Park Elementary,E
Vickery Mill Elementary,E
Wolf Creek Elementary,E
Fulton Academy of Science and Technology,E
Skyview High School,H
Wellspring Living,H
Bethune Elementary School,E
Campbell Elementary School,E
Brookview Elementary School,E
Heards Ferry Elementary School,E
Lee Elementary School,E
Parklane Elementary School,E
Riverwood International Charter School,H
High Point Elementary School,E
Mimosa Elementary School,E
North Springs High School,H
E. C. West Elementary School,E
Conley Hills Elementary School,E
Asa Hilliard Elementary School,E
Westlake High School,H
Mountain View Elementary,E
Clear Creek Middle School,M
Gilmer Middle school,M
Ellijay Primary School,E
Gilmer High School,H
Ellijay Elementary School,E
Glascock County Middle/High School,H
Glascock County Elementary School,E
Sterling Elementary School,E
"Morningstar Treatment Services, Inc. Youth Estate",H
Glynn Middle,M
Jane Macon Middle,M
Risley Middle School,M
Glyndale Elementary School,E
Golden Isles Elementary School,E
Oglethorpe Point Elementary School,E
Satilla Marsh Elementary School,E
Needwood Middle School,M
Greer Elementary School,E
Altama Elementary School,E
St. Simons Elementary School,E
Brunswick High School,H
Burroughs-Molette Elementary School,E
Glynn Academy,H
Goodyear Elementary School,E
Sonoraville High School,H
Sonoraville Elementary,E
Red Bud Middle School,M
Tolbert Elementary School,E
Red Bud Elementary School,E
Swain Elementary School,E
Gordon Central High School,H
Ashworth Middle School,M
Belwood Elementary School,E
Fairmount Elementary School,E
